Utility ID,Plant Code,Generator ID,Technology,Prime Mover,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Status,Synchronized to Transmission Grid,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load
12341,58883,HLWF3,Onshore Wind Turbine,WT,S,X,X,89.10,,84.30,84.30,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
12341,58883,HLWF4,Onshore Wind Turbine,WT,S,X,X,93.80,,88.80,88.80,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
12341,58883,HLWF5,Onshore Wind Turbine,WT,S,X,X,93.80,,88.80,88.80,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
12341,58883,HLWF6,Onshore Wind Turbine,WT,S,X,X,79.70,,75.50,75.50,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
12341,58883,HLWF7,Onshore Wind Turbine,WT,S,X,X,11.70,,11.10,11.10,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
12341,58884,LGWF,Onshore Wind Turbine,WT,S,X,X,251.00,,251.00,251.00,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
12341,58885,MBWF,Onshore Wind Turbine,WT,S,X,X,119.60,,119.60,119.60,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
12341,58886,WBWF,Onshore Wind Turbine,WT,S,X,X,140.80,,140.80,140.80,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
58760,58887,ADAM,Onshore Wind Turbine,WT,S,X,X,2.50,,2.50,2.50,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
58760,58887,EVE,Onshore Wind Turbine,WT,S,X,X,2.50,,2.50,2.50,0.10,N,OP,X,,,N,X,WND,,,,,,,,,,
58759,58889,ASTI,Solar Photovoltaic,PV,S,X,X,1.00,,1.00,1.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,10M
58759,58890,BERI,Solar Photovoltaic,PV,S,X,X,1.20,,1.10,0.60,,N,OP,X,,,N,X,SUN,,,,,,,,,,10M
57480,58891,BTWF1,Onshore Wind Turbine,WT,S,X,X,20.00,,20.00,20.00,0.00,N,OP,X,,,N,X,WND,,,,,,,,,,
58764,58892,CMLA,Solar Photovoltaic,PV,S,X,X,16.00,,16.00,17.60,,N,OP,X,,,N,X,SUN,,,,,,,,,,10M
