Utility ID,Plant Code,Generator ID,Technology,Prime Mover,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Status,Synchronized to Transmission Grid,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load
58593,59203,PV1,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58593,59203,PV2,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58593,59203,PV3,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56769,59204,OCIA3,Solar Photovoltaic,PV,S,X,X,5.50,,5.50,5.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
56769,59205,OCIA5,Solar Photovoltaic,PV,S,X,X,100.00,,100.00,100.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59004,59219,PV1,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59004,59219,PV2,Solar Photovoltaic,PV,S,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59015,59221,GEN1,Landfill Gas,IC,S,X,X,1.60,1.00,1.60,1.60,0.80,N,OP,X,,,N,X,LFG,,,,,,,,,,10M
59015,59221,GEN2,Landfill Gas,IC,S,X,X,1.60,1.00,1.60,1.60,0.80,N,OP,X,,,N,X,LFG,,,,,,,,,,10M
59015,59221,GEN3,Landfill Gas,IC,S,X,X,1.60,1.00,1.60,1.60,0.80,N,OP,X,,,N,X,LFG,,,,,,,,,,10M
49913,59233,CT2,Natural Gas Fired Combined Cycle,CS,S,N,X,6.00,0.80,5.00,5.00,2.80,Y,OP,X,,,Y,T,NG,,,,,,,,,,1H
59039,59234,GEN1,Onshore Wind Turbine,WT,S,X,X,100.00,,100.00,100.00,1.00,N,OP,X,,,N,X,WND,,,,,,,,,,
59040,59235,GEN1,Onshore Wind Turbine,WT,S,X,X,19.80,,19.80,19.80,1.00,N,OP,X,,,N,X,WND,,,,,,,,,,
59042,59236,GEN1,Onshore Wind Turbine,WT,S,X,X,99.00,,99.00,99.00,1.00,N,OP,X,,,N,X,WND,,,,,,,,,,
