Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,Net Metering (for facilities with solar or wind generation),FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Natural Gas Pipeline Name
10171,Kentucky Utilities Co,1358,Haefling,1555 Baumann Dr.,Lexington,KY,40511,Fayette,38.079400,-84.519400,SERC,LGEE,LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Kentucky Utilities Co,10171,KY,69.00,,,Columbia Gas of Kentucky
40577,American Mun Power-Ohio Inc,7782,Hamilton Peaking,8000 N. Gilmore Rd.,Hamilton,OH,45015,Butler,39.352800,-84.518300,RFC,PJM,PJM Interconnection LLC,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,City of Hamilton - (OH),7977,OH,138.00,,,City of Hamilton Municipal Pipeline
57281,University of Cincinnati,57908,Central Utility Plant Cincinnati,3000 Glendora Avenue,Cincinnati,OH,45221,Hamilton,39.134533,-84.509419,RFC,PJM,PJM Interconnection LLC,City Water,611,NR,5,Commercial CHP,,N,,N,,N,,N,X,,Duke Energy Ohio Inc,3542,OH,138.00,,,Duke Energy Ohio
57281,University of Cincinnati,57929,East Campus Utility Plant,3220 Eden Avenue,Cincinnati,OH,45267,Hamilton,39.137935,-84.504948,RFC,PJM,PJM Interconnection LLC,City Water,611,NR,4,Commercial Non-CHP,,N,,N,,N,,N,X,,Duke Energy Ohio Inc,3542,OH,12.00,,,Duke Energy Ohio
15400,Procter & Gamble Co,50456,Procter & Gamble Cincinnati Plant,5201 Spring Grove Avenue,Cincinnati,OH,45217,Hamilton,39.175000,-84.504200,RFC,PJM,PJM Interconnection LLC,Wells,339,NR,7,Industrial CHP,,N,,N,,N,,N,X,,Duke Energy Ohio Inc,3542,OH,13.20,,,Duke Energy Ohio
57397,Beebe Renewable Energy LLC,58020,Beebe Renewable Energy LLC,5176 E Pierce Road,Ithaca,MI,48847,Gratiot,43.256944,-84.499722,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,NR,2,IPP Non-CHP,,N,,N,,Y,1292,,X,,Michigan Electric Transmission Company,56163,MI,345.00,,,
58785,Beebe 1B Renewable Energy LLC,58908,Beebe 1B,5176 E Pierce Rd,Ithaca,MI,48847,Gratiot,43.256944,-84.499722,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,NR,2,IPP Non-CHP,,N,,N,,N,,,X,,Michigan Electric Transmission Company,56163,MI,345.00,,,
5109,DTE Electric Company,57421,Gratiot Wind Park,7330 E. Monroe Rd,Breckenridge,MI,48615,Gratiot,43.433889,-84.497500,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Michigan Electric Transmission Company,56163,MI,138.00,,,
18642,Tennessee Valley Authority,3413,Ocoee 2,1988 Hwy 64 E,Benton,TN,37307,Polk,35.082271,-84.491150,SERC,TVA,Tennessee Valley Authority,Ocoee River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Tennessee Valley Authority,18642,TN,69.00,,,
12436,Michigan State University,10328,T B Simon Power Plant,354 Service Rd.,East Lansing,MI,48824,Ingham,42.717800,-84.483600,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Ground Water,611,NR,5,Commercial CHP,,N,,N,,N,,N,X,,Consumers Energy Co,4254,MI,46.00,,,Consumers Energy Co
18642,Tennessee Valley Authority,3414,Ocoee 3,1988 Hwy 64 E,Benton,TN,37307,Polk,35.075000,-84.483300,SERC,TVA,Tennessee Valley Authority,Ocoee River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,Tennessee Valley Authority,18642,TN,161.00,,,
7857,Great Lakes Tissue Co,50461,Cheboygan,437 S Main Street,Cheboygan,MI,49721,Cheboygan,45.637537,-84.481387,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,Cheboygan River,322122,NR,6,Industrial Non-CHP,,N,,N,,N,,N,X,,Consumers Energy Co,4254,MI,2.30,,,
7140,Georgia Power Co,700,Atkinson,5551 South Cobb Drive,Smyrna,GA,30080,Cobb,33.817500,-84.480278,SERC,,,Chattahoochee River,22,RE,1,Electric Utility,,N,,N,,N,,,X,,,,,,,,
40577,American Mun Power-Ohio Inc,7775,Versailles Peaking,649 E. Water St.,Versailles,OH,45380,Darke,40.224700,-84.476900,RFC,PJM,PJM Interconnection LLC,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Village of Versailles - (OH),19805,OH,12.47,,,
7140,Georgia Power Co,710,Jack McDonough,5551 South Cobb Drive,Smyrna,GA,30080,Cobb,33.823900,-84.475800,SERC,SOCO,Southern Company Services Inc. - Trans,Chattahoochee River,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,230.00,,,Southern Natural Gas Atlanta Gas Light 
15470,Duke Energy Indiana LLC,55110,Madison,5657 Kennel Rd,Trenton,OH,45067,Butler,39.452200,-84.464700,RFC,PJM,PJM Interconnection LLC,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Duke Energy Ohio Inc,3542,OH,345.00,,,Texas Eastern Transmission Co
49893,Invenergy Services LLC,58677,Gratiot County Wind LLC,126 Enterprise Drive,Breckenridge,MI,48615,Gratiot,43.408056,-84.462222,RFC,MISO,Midcontinent Independent Transmission System Operator Inc..,,22,NR,2,IPP Non-CHP,X,N,,N,,N,,N,X,,Michigan Electric Transmission Company,56163,MI,138.00,,,
55729,Duke Energy Kentucky Inc,7158,Woodsdale,2100 Woodsdale Rd,Trenton,OH,45067,Butler,39.449200,-84.461100,RFC,PJM,PJM Interconnection LLC,,22,RE,1,Electric Utility,,N,,N,,N,,N,X,,Duke Energy Ohio Inc,3542,OH,345.00,,,Texas Eastern Transmission Co
